Dates,traded_dollars,asset_turnover,signal_change_day,nonzero_rebalance_day,BRL_traded_dollars,AUD_traded_dollars,BCOM_traded_dollars,XAU_traded_dollars
2002-07-22,25887320.314446162,0.2541913650458509,True,True,0.0,11124.218539316207,121860.94173106551,25754335.15417578
2002-07-23,255553.54485578462,0.00252197431093349,False,True,0.0,235990.07812793553,19563.466727849096,0.0
2002-07-24,387041.1720255539,0.0038489857159004714,False,True,0.0,62933.23056588322,324107.94145967066,0.0
2002-07-25,25224022.429382913,0.2505619418550794,True,True,0.0,24969676.870678805,254345.558704108,0.0
2002-07-26,169218.0039576292,0.0016846968956430192,False,True,0.0,0.0,169218.0039576292,0.0
2002-07-29,144341.1005589366,0.0014397866508359062,False,True,0.0,0.0,144341.1005589366,0.0
2002-07-30,146926.08863184229,0.0014684410975525789,False,True,0.0,0.0,146926.08863184229,0.0
2002-07-31,251820.43284716085,0.002508381813224061,False,True,0.0,0.0,251820.43284716085,0.0
2002-08-01,92025.57954664156,0.0009155472413236613,False,True,0.0,0.0,92025.57954664156,0.0
2002-08-02,172509.54207153246,0.0017202052938053442,False,True,0.0,0.0,172509.54207153246,0.0
2002-08-05,74543.65807462856,0.000742587515143848,False,True,0.0,0.0,74543.65807462856,0.0
2002-08-06,277495.1087274179,0.002774571696790769,False,True,0.0,0.0,277495.1087274179,0.0
2002-08-07,147603.5605367571,0.0014729353917678132,False,True,0.0,0.0,147603.5605367571,0.0
2002-08-08,114423.32470140234,0.0011435709575680175,False,True,0.0,0.0,114423.32470140234,0.0
2002-08-09,25851.470656525344,0.0002582761039162751,False,True,0.0,0.0,25851.470656525344,0.0
2002-08-12,113922.67541417107,0.0011364506361400523,False,True,0.0,0.0,113922.67541417107,0.0
2002-08-13,418498.91420559585,0.0041516811081628215,False,True,0.0,0.0,418498.91420559585,0.0
2002-08-14,86644.89460550994,0.0008585689592742216,False,True,0.0,0.0,86644.89460550994,0.0
2002-08-15,20206.381093945354,0.00020017268628758954,False,True,0.0,0.0,20206.381093945354,0.0
2002-08-16,321932.2244208269,0.0031756886139434008,False,True,0.0,0.0,321932.2244208269,0.0
2002-08-19,52780.87159752846,0.0005210166642106788,False,True,0.0,0.0,52780.87159752846,0.0
2002-08-20,1565.4871088005602,1.5453736419125102e-05,False,True,0.0,0.0,1565.4871088005602,0.0
2002-08-21,173351.1394881606,0.0017151525239781692,False,True,0.0,0.0,173351.1394881606,0.0
2002-08-22,138798.17366995662,0.0013707722783238689,False,True,0.0,0.0,138798.17366995662,0.0
2002-08-23,169901.2684111111,0.0016742011542663039,False,True,0.0,0.0,169901.2684111111,0.0
2002-08-26,39490.532666478306,0.00038934033682873744,False,True,0.0,0.0,39490.532666478306,0.0
2002-08-27,190165.89647093043,0.0018701857463394847,False,True,0.0,0.0,190165.89647093043,0.0
2002-08-28,86092.11605619267,0.000847629456300093,False,True,0.0,0.0,86092.11605619267,0.0
2002-08-29,142162.60775096342,0.0014022947016476986,False,True,0.0,0.0,142162.60775096342,0.0
2002-08-30,26986.018007885665,0.00026628511164642545,False,True,0.0,0.0,26986.018007885665,0.0
2002-09-02,96813.86718931049,0.0009540976291407585,False,True,0.0,0.0,96813.86718931049,0.0
2002-09-03,0.0,0.0,False,False,0.0,0.0,0.0,0.0
2002-09-04,247847.1391537264,0.0024505063609616636,False,True,0.0,0.0,247847.1391537264,0.0
2002-09-05,243932.0967321135,0.0024040668474449916,False,True,0.0,0.0,243932.0967321135,0.0
2002-09-06,262962.60729945824,0.002582697083560289,False,True,0.0,0.0,262962.60729945824,0.0
2002-09-09,175915.25012113154,0.0017237871591891882,False,True,0.0,0.0,175915.25012113154,0.0
2002-09-10,302497.3520541452,0.0029524917081506143,False,True,0.0,0.0,302497.3520541452,0.0
2002-09-11,40608.40869574994,0.0003961444983212774,False,True,0.0,0.0,40608.40869574994,0.0
2002-09-12,8637.904299724847,8.42553048076367e-05,False,True,0.0,0.0,8637.904299724847,0.0
2002-09-13,187469.3203348443,0.0018330707708501314,False,True,0.0,0.0,187469.3203348443,0.0
2002-09-16,104113.4753896892,0.0010166392613518715,False,True,0.0,0.0,104113.4753896892,0.0
2002-09-17,25605853.898187958,0.25002555450935454,True,True,0.0,0.0,2617.112615775317,25603236.785572182
2002-09-18,92824.47103085369,0.0009059112994973086,False,True,0.0,0.0,33324.58558214083,59499.885448712856
2002-09-19,160928.79184225202,0.0015656507988017524,False,True,0.0,0.0,80461.35528022796,80467.43656202406
2002-09-20,318129.7431302853,0.003090128926090848,False,True,0.0,0.0,118275.21199219301,199854.53113809228
2002-09-23,25792796.283082347,0.2510750139508231,True,True,0.0,25682360.698916722,70137.38988938928,40298.194276236
2002-09-24,320669.6109286882,0.0031190026595447353,False,True,0.0,150066.87435700744,103444.67741801962,67158.05915366113
2002-09-25,307131.01695506275,0.002981362857765541,False,True,0.0,6604.9912734776735,121285.49847559631,179240.52720598876
2002-09-26,346104.4660568051,0.003375448878557264,False,True,0.0,112908.19001382962,45523.1119280234,187673.1641149521
2002-09-27,315684.2152492888,0.0030801443486107058,False,True,0.0,41400.7768294476,110721.04163503647,163562.39678480476
2002-09-30,149766.68866892532,0.0014606728117084289,False,True,0.0,50901.85213519633,80208.57975075394,18656.256782975048
