Dates,start_nav,end_nav,BRL_weight,AUD_weight,BCOM_weight,XAU_weight,BRL_dollar,AUD_dollar,BCOM_dollar,XAU_dollar,Cash_dollar,strategy_return,gross_leverage,active_signals
2023-10-05,222482858.52662396,222492217.26182324,0.0,0.0,0.25,0.0,0.0,0.0,55620714.63165599,0.0,166862143.89496797,4.206497193209868e-05,0.25,1.0
2023-10-06,222492217.26182324,223000370.77006492,0.0,0.0,0.25,0.0,0.0,0.0,55623054.31545581,0.0,166869162.94636744,0.002283915880274212,0.25,1.0
2023-10-09,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-10,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-11,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-12,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-13,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-16,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-17,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-18,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-19,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-20,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-23,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-24,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-25,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-26,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-27,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-30,223000370.77006492,223000370.77006492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000370.77006492,0.0,0.0,0.0
2023-10-31,223000370.77006492,222659072.17144635,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55750092.69251623,167250278.07754868,-0.0015304844446670796,0.25,1.0
2023-11-01,222659072.17144635,222621193.14808917,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55664768.04286159,166994304.12858477,-0.00017012117668407933,0.25,1.0
2023-11-02,222621193.14808917,222712429.9613696,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55655298.28702229,166965894.86106688,0.0004098298638608444,0.25,1.0
2023-11-03,222712429.9613696,222905053.8162068,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55678107.4903424,167034322.4710272,0.0008648994349827466,0.25,1.0
2023-11-06,222905053.8162068,222499268.51386154,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55726263.4540517,167178790.3621551,-0.001820440117431571,0.25,1.0
2023-11-07,222499268.51386154,222254907.82106608,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55624817.128465384,166874451.38539615,-0.0010982539152941673,0.25,1.0
2023-11-08,222254907.82106608,221711811.14743188,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55563726.95526652,166691180.86579955,-0.0024435756175582024,0.25,1.0
2023-11-09,221711811.14743188,221949132.14310938,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55427952.78685797,166283858.36057392,0.0010704030355860872,0.25,1.0
2023-11-10,221949132.14310938,221429262.01280558,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55487283.035777345,166461849.10733205,-0.0023422940440631923,0.25,1.0
2023-11-13,221429262.01280558,221620995.42182606,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55357315.503201395,166071946.5096042,0.000865890114421175,0.25,1.0
2023-11-14,221620995.42182606,222648426.77790764,0.25,0.0,0.0,0.25,55405248.855456516,0.0,0.0,55405248.855456516,110810497.71091303,0.004635983852188719,0.5,2.0
2023-11-15,222648426.77790764,222581903.3831403,0.25,0.0,0.0,0.25,55662106.69447691,0.0,0.0,55662106.69447691,111324213.38895382,-0.00029878223587748165,0.5,2.0
2023-11-16,222581903.3831403,223267577.13179138,0.25,0.0,0.0,0.25,55645475.845785074,0.0,0.0,55645475.845785074,111290951.69157015,0.00308054580461925,0.5,2.0
2023-11-17,223267577.13179138,222865683.9663681,0.25,0.0,0.0,0.25,55816894.282947846,0.0,0.0,55816894.282947846,111633788.56589569,-0.0018000516267798472,0.5,2.0
2023-11-20,222865683.9663681,223528451.16102403,0.25,0.25,0.0,0.25,55716420.99159203,55716420.99159203,0.0,55716420.99159203,55716420.99159203,0.002973841386706755,0.75,3.0
2023-11-21,223528451.16102403,223946397.7206551,0.25,0.25,0.0,0.25,55882112.79025601,55882112.79025601,0.0,55882112.79025601,55882112.79025601,0.0018697689598806133,0.75,3.0
2023-11-22,223946397.7206551,223441457.9970351,0.25,0.25,0.0,0.25,55986599.43016378,55986599.43016378,0.0,55986599.43016378,55986599.43016378,-0.002254734743489084,0.75,3.0
2023-11-23,223441457.9970351,223758088.9456726,0.25,0.25,0.0,0.25,55860364.49925877,55860364.49925877,0.0,55860364.49925877,55860364.49925877,0.0014170644582962022,0.75,3.0
2023-11-24,223758088.9456726,224078971.0303856,0.25,0.25,0.0,0.25,55939522.23641815,55939522.23641815,0.0,55939522.23641815,55939522.23641815,0.0014340580321585417,0.75,3.0
2023-11-27,224078971.0303856,224448619.9989662,0.25,0.25,0.0,0.25,56019742.7575964,56019742.7575964,0.0,56019742.7575964,56019742.7575964,0.0016496370314485198,0.75,3.0
2023-11-28,224448619.9989662,226121144.70086628,0.25,0.25,0.0,0.25,56112154.99974155,56112154.99974155,0.0,56112154.99974155,56112154.99974155,0.007451704100064405,0.75,3.0
2023-11-29,226121144.70086628,225826377.73872855,0.25,0.25,0.0,0.25,56530286.17521657,56530286.17521657,0.0,56530286.17521657,56530286.17521657,-0.0013035798245567831,0.75,3.0
2023-11-30,225826377.73872855,225171170.5151132,0.25,0.25,0.0,0.25,56456594.43468214,56456594.43468214,0.0,56456594.43468214,56456594.43468214,-0.002901375960488506,0.75,3.0
2023-12-01,225171170.5151132,226558094.3254435,0.25,0.25,0.0,0.25,56292792.6287783,56292792.6287783,0.0,56292792.6287783,56292792.6287783,0.0061594199966074625,0.75,3.0
2023-12-04,226558094.3254435,224913792.0810669,0.25,0.25,0.0,0.25,56639523.58136088,56639523.58136088,0.0,56639523.58136088,56639523.58136088,-0.007257751038524274,0.75,3.0
2023-12-05,224913792.0810669,223875573.8974856,0.25,0.25,0.0,0.25,56228448.02026673,56228448.02026673,0.0,56228448.02026673,56228448.02026673,-0.004616071668948979,0.75,3.0
2023-12-06,223875573.8974856,224912376.61769432,0.25,0.25,0.0,0.25,55968893.4743714,55968893.4743714,0.0,55968893.4743714,55968893.4743714,0.004631156057620989,0.75,3.0
2023-12-07,224912376.61769432,224918835.77553922,0.25,0.25,0.0,0.25,56228094.15442358,56228094.15442358,0.0,56228094.15442358,56228094.15442358,2.871855227362663e-05,0.75,3.0
2023-12-08,224918835.77553922,224131011.63825315,0.25,0.25,0.0,0.25,56229708.943884805,56229708.943884805,0.0,56229708.943884805,56229708.943884805,-0.003502704140227131,0.75,3.0
2023-12-11,224131011.63825315,223036443.26975447,0.25,0.25,0.0,0.25,56032752.90956329,56032752.90956329,0.0,56032752.90956329,56032752.90956329,-0.0048836096374977045,0.75,3.0
2023-12-12,223036443.26975447,222792899.30923784,0.25,0.25,0.0,0.25,55759110.81743862,55759110.81743862,0.0,55759110.81743862,55759110.81743862,-0.0010919469345287425,0.75,3.0
2023-12-13,222792899.30923784,224354209.32101616,0.25,0.25,0.0,0.25,55698224.82730946,55698224.82730946,0.0,55698224.82730946,55698224.82730946,0.00700789844119401,0.75,3.0
2023-12-14,224354209.32101616,226326574.09091395,0.25,0.25,0.0,0.25,56088552.33025404,56088552.33025404,0.0,56088552.33025404,56088552.33025404,0.00879129825942182,0.75,3.0
2023-12-15,226326574.09091395,225456223.20366618,0.25,0.25,0.0,0.25,56581643.52272849,56581643.52272849,0.0,56581643.52272849,56581643.52272849,-0.0038455532265431747,0.75,3.0
2023-12-18,225456223.20366618,225525983.2289097,0.25,0.25,0.0,0.25,56364055.800916545,56364055.800916545,0.0,56364055.800916545,56364055.800916545,0.00030941716423821264,0.75,3.0
2023-12-19,225525983.2289097,227427499.56651065,0.25,0.25,0.0,0.25,56381495.807227425,56381495.807227425,0.0,56381495.807227425,56381495.807227425,0.008431473439895754,0.75,3.0
2023-12-20,227427499.56651065,226947814.61081588,0.25,0.25,0.0,0.25,56856874.89162766,56856874.89162766,0.0,56856874.89162766,56856874.89162766,-0.002109177459230255,0.75,3.0
2023-12-21,226947814.61081588,227557857.5665843,0.25,0.25,0.0,0.25,56736953.65270397,56736953.65270397,0.0,56736953.65270397,56736953.65270397,0.00268803185796046,0.75,3.0
2023-12-22,227557857.5665843,228083521.83907536,0.25,0.25,0.0,0.25,56889464.39164607,56889464.39164607,0.0,56889464.39164607,56889464.39164607,0.002310024703661262,0.75,3.0
2023-12-25,228083521.83907536,228083521.83907536,0.25,0.25,0.0,0.25,57020880.45976884,57020880.45976884,0.0,57020880.45976884,57020880.45976884,0.0,0.75,3.0
2023-12-26,228083521.83907536,228925213.78017023,0.25,0.25,0.0,0.25,57020880.45976884,57020880.45976884,0.0,57020880.45976884,57020880.45976884,0.0036902794831829566,0.75,3.0
2023-12-27,228925213.78017023,229579697.6914852,0.25,0.25,0.0,0.25,57231303.44504256,57231303.44504256,0.0,57231303.44504256,57231303.44504256,0.0028589420121430398,0.75,3.0
2023-12-28,229579697.6914852,229183077.7705569,0.25,0.25,0.0,0.25,57394924.4228713,57394924.4228713,0.0,57394924.4228713,57394924.4228713,-0.0017275914417367866,0.75,3.0
2023-12-29,229183077.7705569,228611177.77745968,0.25,0.25,0.0,0.25,57295769.442639224,57295769.442639224,0.0,57295769.442639224,57295769.442639224,-0.0024953849065145473,0.75,3.0
2024-01-01,228611177.77745968,228611177.77745968,0.25,0.25,0.0,0.25,57152794.44436492,57152794.44436492,0.0,57152794.44436492,57152794.44436492,0.0,0.75,3.0
2024-01-02,228611177.77745968,227410469.09430623,0.25,0.25,0.0,0.25,57152794.44436492,57152794.44436492,0.0,57152794.44436492,57152794.44436492,-0.005252187118874346,0.75,3.0
2024-01-03,227410469.09430623,226307294.1307845,0.25,0.25,0.0,0.25,56852617.27357656,56852617.27357656,0.0,56852617.27357656,56852617.27357656,-0.0048510298048952405,0.75,3.0
2024-01-04,226307294.1307845,226383804.57227913,0.25,0.25,0.0,0.25,56576823.53269613,56576823.53269613,0.0,56576823.53269613,56576823.53269613,0.0003380820834274767,0.75,3.0
2024-01-05,226383804.57227913,227140798.43456006,0.25,0.25,0.0,0.25,56595951.14306978,56595951.14306978,0.0,56595951.14306978,56595951.14306978,0.0033438516669122564,0.75,3.0
2024-01-08,227140798.43456006,226444014.29162565,0.25,0.25,0.0,0.25,56785199.608640015,56785199.608640015,0.0,56785199.608640015,56785199.608640015,-0.0030676309484539144,0.75,3.0
2024-01-09,226444014.29162565,225986314.30721,0.25,0.25,0.0,0.25,56611003.57290641,56611003.57290641,0.0,56611003.57290641,56611003.57290641,-0.002021250090656901,0.75,3.0
