Dates,trend_ret,bench_ret,mix10_ret,trend_nav,bench_nav,mix10_nav
2002-05-24,-0.0034871035473286,-0.006995922117283,-0.00664504026028756,101594239.84587614,97770324.91973549,98166798.55615386
2002-05-27,0.0001004710189128,0.0,1.004710189128e-05,101604447.12266912,97770324.91973549,98167784.8479813
2002-05-28,0.0046856401660051,-0.0049493180086955,-0.00398582219122544,102080529.00115183,97286428.48989423,97776505.51267077
2002-05-29,0.0041356806007217,-0.0025313020788804,-0.0018646038109201902,102502701.46465333,97040167.1512109,97594191.06787339
2002-05-30,-0.0044757367785857,-0.000637438715816,-0.00102126852209297,102043926.35380359,96978309.99167947,97494521.19259664
2002-05-31,0.0053285072159759,0.0010279613283943,0.00145801591715246,102587668.15172635,97077999.94404395,97636669.7563306
2002-06-03,0.0022526717665617,-0.014537143858157,-0.01285816229568513,102818764.49536914,95666763.09339522,96381241.61059348
2002-06-04,0.0033746000431345,0.0006312760490475,0.0009056084484562,103165736.70247024,95727155.22962599,96468525.27726874
2002-06-05,-0.0078328629894798,0.0047707035964644,0.00351034693786998,102357653.62167104,96183841.11335926,96807163.26957662
2002-06-06,0.0038424757763295,-0.010992820058101,-0.009509290474657952,102750960.42623425,95126509.45550312,95886595.83401857
2002-06-07,-0.0039780511142891,-0.0018688089460738,-0.0020797331628953303,102342211.85361639,94948736.18362391,95687177.30078542
2002-06-10,-0.0080133390896238,0.0025342191694592,0.0014794633435509,101522109.00685124,95189357.09097639,95828742.97204979
2002-06-11,0.0014549916213957,-0.0087331904399238,-0.00771437223379185,101669822.82484263,94358050.30764697,95089484.37806702
2002-06-12,2.9042035177478945e-05,0.0048367829597281,0.004356008867273038,101672775.52341358,94814439.71748817,95503695.0152023
2002-06-13,-0.0020717796486107,-0.0054232599415138,-0.00508811191222349,101462131.9362664,94300236.36469124,95017761.52693409
2002-06-14,-0.0025540983734898,0.0009559559041843,0.00060495047641689,101202987.67011717,94390383.23241003,95075242.56703788
2002-06-17,-0.0032323621562024,0.016134550485825,0.01419785922162226,100875862.96267767,95913329.63604973,96425107.47646628
2002-06-18,0.0055930286655433,0.0008449567162661,0.00131976391119382,101440064.55588934,95994372.24810514,96552365.8534467
2002-06-19,0.0011780090046938,-0.0075145676158192,-0.0066453099537679,101559561.8653729,95273016.04710864,95910745.45558096
2002-06-20,0.0050415597123547,-0.0100198666588421,-0.00851372402172242,102071580.46087776,94318393.13013089,95094187.83805446
2002-06-21,0.0019171419139606,-0.0087699192628371,-0.00770121314515733,102267266.1660035,93491228.4373791,94361847.22864798
2002-06-24,-0.0022821100291487,0.0007271134556714,0.00042619110718939,102033881.01223245,93559207.16756317,94402063.4087948
2002-06-25,-0.0020552189374016,-0.009964538970698,-0.00917360696736836,101824179.04771954,92626932.80167438,93536055.98217392
2002-06-26,-0.0051614644994364,0.0012054959896176,0.0005687999407121999,101298617.16238049,92738594.19769737,93589259.28527105
2002-06-27,0.0001691596041181,0.0082376361655654,0.0074307885094206695,101315752.79635738,93502540.995204,94284701.27777323
2002-06-28,-0.0032737755567107,-0.0006218532085397,-0.0008870454433568,100984067.76134293,93444396.14007953,94201066.46312653
2002-07-01,-0.0001663599525462,-0.0124860333542061,-0.01125406601404011,100967268.05662222,92277646.29311085,93140921.44255753
2002-07-02,-0.001347454113277,-0.0109243057618481,-0.00996662059699099,100831219.29597299,91269577.07002124,92212621.21648541
2002-07-03,-0.0026154348751115,0.0037893439483406,0.0031488660659953903,100567501.80852628,91615428.88955912,92502986.41029048
2002-07-04,-0.0017378172802118,0.0,-0.00017378172802118,100392733.86605567,91615428.88955912,92486911.08146498
2002-07-05,0.0011622120526479,0.0197334345602429,0.0178763123094834,100509411.51135309,93423315.96025981,94140235.98849666
2002-07-08,0.0006946489646534,-0.0060186467489626,-0.005347317177601,100579230.26999736,92861034.02337828,93636838.28749196
2002-07-09,0.0072695454034102,-0.013131647157516,-0.01109152790142338,101310395.55108514,91641615.68990119,92598262.68302517
2002-07-10,-0.0004362872740006,-0.0181264315297629,-0.01635741710418667,101266195.11478223,89980480.21782134,91083594.27719589
2002-07-11,-0.0030267362010269,0.0050304015222598,0.00422468774993113,100959689.05608808,90433118.16248274,91468394.02215844
2002-07-12,-5.628248597217e-05,-0.0034096344308353,-0.003074299236348987,100954006.79380502,90124774.28910814,91187192.80826606
2002-07-15,0.0025719648867119,-0.0026406966154485,-0.0021194304652324605,101213656.95445158,89886782.10267483,90993927.8937892
2002-07-16,0.0011772340425109,-0.0130644328962473,-0.01164026620237148,101332809.11698537,88712462.26963484,89934734.3503061
2002-07-17,-0.0033043662304223,0.0044676064866503,0.00369040921494304,100997968.40450537,89108794.64151737,90266630.32269591
2002-07-18,0.0011024898423939,-0.0151156466703272,-0.013493833019055091,101109317.63877375,87761857.58649746,89048587.48592867
2002-07-19,0.0072450102491867,-0.0219358693548357,-0.01901778139443346,101841855.68135495,85836724.94414236,87355080.91563821
2002-07-22,-0.0050186348853531,-0.0176945968634879,-0.016427000665674422,101330748.59164342,84317878.70017366,85920098.94328699
2002-07-23,-0.0076391653551343,-0.0155736006340978,-0.01478015710620145,100556666.24759232,83004745.73098285,84650186.38232483
2002-07-24,0.0011251482459438,0.034431657403253,0.03110100648752208,100669807.40423875,85862736.69883618,87282892.37817147
2002-07-25,-0.0022412281407358,-0.0027798201914636,-0.00272596098639082,100444183.3989619,85624053.72966644,87044962.61876923
2002-07-26,-0.0019160372879017,0.0101950431693466,0.00898393512362177,100251728.59821665,86496994.65377483,87826968.91577435
2002-07-29,-0.0019540954978866,0.0296094785300892,0.02645312112729162,100055827.14670753,89058125.55989301,90150266.3627462
2002-07-30,0.0033557323616668,0.0023169376117155,0.00242081708671063,100391587.72383709,89264467.68063161,90368503.66792864
2002-07-31,0.0012222216573203,0.0086230085170529,0.007882929831079641,100514288.49656594,90034195.9457119,91080872.24128257
2002-08-01,-0.0022883584632835,-0.0166076369986091,-0.01517570914507654,100284275.7738039,88538940.70198385,89698655.41546899
2002-08-02,0.0009910979895161,-0.0109089293089327,-0.00971892657908782,100383667.31790338,87573075.65677813,88826880.76924315
2002-08-05,-0.0036857935975929,-0.0197142557213392,-0.01811140950896457,100013673.83960016,85846637.64897622,87218100.75622742
2002-08-06,0.0019677784029609,0.0155021377254116,0.01414870179316653,100210478.58698249,87177444.04907416,88452123.65479364
2002-08-07,-0.0015224399193221,0.0138569561875534,0.01231901657686585,100057914.1540473,88385458.07180507,89541766.83235604
2002-08-08,0.0003444867688223,0.018189861256703,0.016405323807914932,100092382.78158931,89993177.29124135,91010728.51157364
2002-08-09,0.0015175670348829,0.0047001691375847,0.00438190892731452,100244279.68214153,90416160.44573882,91409529.23531991
2002-08-12,0.0055663879679064,-0.0021719962438787,-0.0013981578227001902,100802278.23441565,90219776.88486476,91281724.2869502
2002-08-13,0.0011460705865399,-0.0110498674707766,-0.00983027366504495,100917804.76055631,89222860.30704395,90384399.95659229
2002-08-14,0.0002669681680305,0.0249669824022121,0.022496980978793938,100944746.60201491,91450485.89020495,92417776.08319546
2002-08-15,0.0042522566091207,0.0049640050381488,0.00489283019524599,101373989.56790935,91904446.56290509,92869960.56859282
2002-08-16,-0.0006942066279854,-0.0035607367039361,-0.00327408369634103,101303615.07244599,91577199.02677362,92565896.54481535
2002-08-19,-2.0604557335629492e-05,0.014770132060909,0.013291058399084536,101301527.75630093,92929806.35016721,93796195.2815561
2002-08-20,-0.0022816521899543,-0.0057970583464431,-0.00544551773079422,101070392.90365003,92391086.84063163,93285426.43706936
2002-08-21,0.0018310429616748,0.0072208968019122,0.00668191141788846,101255457.13520996,93058233.34412435,93908751.3931018
2002-08-22,0.0022372623753567,0.0065496573880907,0.006118417886817299,101481992.1597581,93667732.88966937,94483324.37735403
