Dates,method1_strategy_return,method1_nav,benchmark_strategy_return,benchmark_nav,spxt_level,luattruu_level,spxt_return,luattruu_return,method1_gross_leverage,method1_active_signals
2024-01-04,0.0003380820834274,226383804.57227913,-0.0039822302191852,443222703.05300975,10154.2,2260.1,-0.003297084058466,-0.0050099494602638,0.75,3.0
2024-01-05,0.0033438516669122,227140798.4345601,-2.968246714551894e-06,443221387.4586777,10172.75,2253.89,0.0018268302771267,-0.0027476660324764,0.75,3.0
2024-01-08,-0.0030676309484539,226444014.29162565,0.0097734761857713,447553201.1340295,10316.52,2261.18,0.0141328549310659,0.0032344080678294,0.75,3.0
2024-01-09,-0.0020212500906569,225986314.30721,-0.0011310463773286,447046997.707225,10302.73,2259.32,-0.0013366910547355,-0.0008225793612183,0.75,3.0
2024-01-10,0.000278170984011,226049177.14263391,0.0028904533337059,448339166.19207114,10361.27,2256.39,0.0056819891426835,-0.0012968503797604,0.75,3.0
2024-01-11,4.096258382568774e-05,226058436.70100135,0.0010779332717358,448822445.89633185,10354.69,2264.62,-0.0006350572854485,0.0036474191075124,0.75,3.0
2024-01-12,0.0054364952513866,227287402.31866223,0.0012719087252225,449393307.0813431,10363.35,2268.98,0.0008363359984702,0.0019252678153509,0.75,3.0
2024-01-15,-0.0020366328144538,226824501.33678803,0.0,449393307.0813431,10363.35,2268.98,0.0,0.0,0.75,3.0
2024-01-16,-0.0074160793009005,225142352.8474872,-0.0045342859176493,447355629.33755827,10324.83,2255.91,-0.0037169448103171,-0.0057602975786477,0.75,3.0
2024-01-17,-0.0064969124953724,223679622.6820348,-0.0044357880214643,445371254.59560806,10267.05,2249.83,-0.0055962180491108,-0.0026951429799947,0.75,3.0
2024-01-18,0.0026793996207725,224278949.7782236,0.0044501643014453,447353229.8536994,10358.29,2244.87,0.0088866811791119,-0.0022046110150545,0.75,3.0
2024-01-19,0.0027129148721775,224887399.47659332,0.0075067864008745,450711414.99595255,10486.44,2245.34,0.0123717331721742,0.000209366243925,0.75,3.0
2024-01-22,-0.0027003079511301,224280134.24367768,0.0022405667930379,451721264.02563554,10509.44,2250.53,0.0021933086919869,0.0023114539446142,0.75,3.0
2024-01-23,-0.0005675823792867,224152836.79145688,0.0010128116485273,452178772.58372813,10540.38,2246.29,0.0029440198526275,-0.0018840006576229,0.75,3.0
2024-01-24,0.0023717889712755,224684480.01763895,-0.0003831499224818,452005520.3220648,10549.04,2241.37,0.0008216022572242,-0.002190278192041,0.75,3.0
2024-01-25,0.0002853338261741,224748590.10000435,0.0044234172568053,454004929.34082866,10605.13,2248.28,0.0053170715060326,0.0030829358829644,0.75,3.0
2024-01-26,5.475305068544656e-05,224760895.77094957,-0.0008227076025891,453631416.03384703,10598.23,2245.85,-0.0006506285165763,-0.0010808262316083,0.5,2.0
2024-01-29,0.0019262965234521,225193851.90308112,0.0062897853175903,456484660.2540144,10678.5,2255.65,0.0075739062088668,0.0043636039806755,0.5,2.0
2024-01-30,-3.734360332627307e-05,225185442.35320413,0.0001846893826542,456568968.12410784,10672.95,2258.45,-0.0005197359179659,0.0012413273335845,0.5,2.0
2024-01-31,0.0014005240474203,225500819.9803488,-0.0074755013018401,453155886.2085163,10501.38,2270.7,-0.016075218191784,0.0054240740330757,0.5,2.0
2024-02-01,-0.0005415951349831,225378689.83331272,0.0097794415917193,457587497.72963625,10633.14,2283.48,0.012546922404484,0.0056282203725723,0.5,2.0
