Dates,ret_100pct_60_40,ret_static_mv,ret_dynamic_mv,nav_100pct_60_40,nav_static_mv,nav_dynamic_mv,w_T_tan,w_T_mv
2002-08-16,-0.0035607367039361,-0.00195759122434622,-0.00327408369634103,91577199.02677362,97066894.03938955,92565896.54481535,0.1,0.1
2002-08-19,0.014770132060909,0.006498213776054001,0.013291058399084536,92929806.35016721,97697655.46743509,93796195.2815561,0.1,0.1
2002-08-20,-0.0057970583464431,-0.0038310201960049467,-0.00544551773079422,92391086.84063163,97323373.77623703,93285426.43706936,0.1,0.1
2002-08-21,0.0072208968019122,0.004206548586235097,0.00668191141788846,93058233.34412435,97732769.27660307,93908751.3931018,0.1,0.1
2002-08-22,0.0065496573880907,0.004137892505917751,0.006118417886817299,93667732.88966937,98137176.97017531,94483324.37735403,0.1,0.1
2002-08-23,-0.0119485926858248,-0.005556356056146504,-0.01080561852753106,92548535.30156608,97591891.87258396,93462373.61691937,0.1,0.1
2002-08-26,0.0050394394414858,0.003619120044530969,0.00478547694583826,93014928.04061654,97945088.64464372,93909635.65116645,0.1,0.1
2002-08-27,-0.0100037979177016,-0.005040390140537232,-0.009116307801951842,92084425.49716866,97451407.18552522,93053526.50700127,0.1,0.1
2002-08-28,-0.009409641965838,-0.005190891286493403,-0.00865530146092185,91217944.02261043,96945547.52510935,92248120.1830813,0.1,0.1
2002-08-29,0.0013445646532796,0.00039410456630440034,0.00117461610774884,91340592.44588807,96983754.20807189,92356476.3109579,0.1,0.1
2002-08-30,-0.0005473049250286,0.00047114482900377264,-0.00036519937765649004,91290601.2897874,97029447.6023644,92322747.78328659,0.1,0.1
2002-09-02,0.0,0.0,0.0,91290601.2897874,97029447.6023644,92322747.78328659,0.1,0.1
2002-09-03,-0.0212576691576094,-0.01119038576242363,-0.01945757234775521,89349975.89036988,95943650.65337908,90526371.23894972,0.1,0.1
2002-09-04,0.0111631363283531,0.006718442635308625,0.010368395719237592,90347401.85216913,96588242.5665159,91464984.47898176,0.1,0.1
2002-09-05,-0.0084822720444709,-0.0018059150988304431,-0.00728849529581571,89581050.6111479,96413812.40089552,90798342.36987485,0.1,0.1
2002-09-06,0.0071105208816344,0.004422229165004234,0.00662983655468106,90218018.54211722,96840176.37400402,91400320.5392231,0.1,0.1
2002-09-09,0.0059826242199426,0.004847090075032399,0.00577958320962289,90757759.04492252,97309569.43177083,91928576.29716574,0.1,0.1
2002-09-10,0.0053630294386049,0.002659238088148568,0.00487957367468002,91244495.57846224,97568338.74514513,92377148.5580162,0.1,0.1
2002-09-11,-0.001451436923429,-0.0005768663710364393,-0.0012950579282666002,91112059.94852002,97512054.85164516,92257514.79938547,0.1,0.1
2002-09-12,-0.0127669279912248,-0.0069904118450770025,-0.01173404872493491,89948838.8400251,96830405.42837243,91174960.62548809,0.1,0.1
2002-09-13,0.0034722717952463,0.002289478350840553,0.0032607805098207403,90261165.65614447,97052096.54530379,91472262.16007936,0.1,0.1
2002-09-16,0.0015766587992689,0.0007139474239792786,0.0014224003033546592,90403476.7172085,97121386.6396241,91602372.3335244,0.1,0.1
2002-09-17,-0.0115938785170697,-0.004823966458669948,-0.01038337349590913,89355349.79062843,96652876.32805502,90651230.68847409,0.1,0.1
2002-09-18,-0.0026880684853934,0.000571993293621827,-0.0021051478922233303,89115156.49085493,96708161.12512393,90460396.4412628,0.1,0.1
2002-09-19,-0.0165926500228467,-0.006425243624588238,-0.014774650558289222,87636499.88747096,96086787.62940909,89123875.69447884,0.1,0.1
2002-09-20,0.0011743059355433,-0.0006822927358484556,0.00084233382207821,87739411.94945906,96021228.31219853,89198947.749331,0.1,0.1
2002-09-23,-0.0063502672195308,-0.002351602491716284,-0.00563527953738633,87182243.2378955,95795424.55244191,88696286.74432279,0.1,0.1
2002-09-24,-0.0096368322988017,-0.003129990577126723,-0.00847336599258701,86342082.58037856,95495585.77626091,87944730.6445547,0.1,0.1
2002-09-25,0.012646510165939,0.0029616769574958303,0.01091479797724415,87434008.60547966,95778412.85219704,88904629.61270317,0.1,0.1
2002-09-26,0.010964433436042,0.004582824256106077,0.00982335953600336,88392672.97288077,96217348.48582743,89777971.75380397,0.1,0.1
2002-09-27,-0.0177490164828993,-0.007590172279615279,-0.0159325479953943,86823789.96331757,95487042.23453222,88347579.90990733,0.1,0.1
2002-09-30,-0.0069701328232566,-0.0019438964010666234,-0.0060714085305160394,86218616.61505471,95301425.31678402,87811185.65959187,0.1,0.1
2002-10-01,0.0221142519892167,0.008691597500519704,0.0197141926508223,88125276.8290417,96129746.94686335,89542312.29058218,0.1,0.1
