date,w_T_tan,w_T_mv,n_obs
2022-04-29,0.7128909994574892,0.8214003790815919,756
2022-05-31,0.713835224971735,0.8275585100936799,756
2022-06-30,0.7487643970740201,0.8348884660161382,756
2022-07-29,0.7068319813385164,0.837618939554074,756
2022-08-31,0.7313345574041684,0.8425001191408635,756
2022-09-30,0.8030474084209767,0.8457187853892145,756
2022-10-31,0.8250996905226348,0.8527265413095896,756
2022-11-30,0.7802912409925786,0.8590053614963146,756
2022-12-30,0.9049754012159911,0.8625220566073745,756
2023-01-31,0.7560356492612275,0.8586438800307412,756
2023-02-28,0.6354750705033458,0.7806135133763515,756
2023-03-31,0.6369020359262261,0.7717628004932541,756
2023-04-28,0.6282222407102594,0.7694025454071745,756
2023-05-31,0.594872206008779,0.7635079854708324,756
2023-06-30,0.38970874913030334,0.7769245578897133,756
2023-07-31,0.5683723703426,0.7859821412038871,756
2023-08-31,0.49998188502851004,0.7809626038880222,756
2023-09-29,0.5984164001573012,0.7750892249610709,756
2023-10-31,0.5920923030956764,0.7787772333595862,756
2023-11-30,0.3022502914418595,0.7857528966253038,756
2023-12-29,0.5019802002909026,0.7908263727834309,756
2024-01-31,0.19627709662776524,0.7894469493633768,756
2024-02-29,0.26274675069054865,0.7914512338186067,756
2024-03-29,0.0,0.7935570502800994,756
2024-04-30,0.0,0.7969126678170796,756
2024-05-31,0.36595456877491384,0.8048417428737661,756
2024-06-28,0.11661944550538787,0.7977815467987757,756
2024-07-31,0.033152229428567014,0.8019298057770936,756
2024-08-30,0.0,0.8077223538069774,756
2024-09-30,0.1823538631548524,0.8106670909290264,756
2024-10-31,0.29477125430253426,0.8044705811679332,756
2024-11-29,0.05298418117073615,0.7931701193956358,756
2024-12-31,0.0,0.7930939689340548,756
2025-01-31,1.0,0.8257851810005618,756
2025-02-28,1.0,0.8537310718346559,756
2025-03-31,0.0,0.8726961045912517,756
2025-04-30,1.0,0.8680657989780854,756
2025-05-30,0.0,0.8391133450306602,756
2025-06-30,0.0,0.8254867828461436,756
2025-07-31,0.0,0.8168094341042147,756
2025-08-29,0.0,0.799602175400525,756
2025-09-30,0.07110478032917426,0.780105409977771,756
2025-10-31,0.17120425033489609,0.7388638257797597,756
2025-11-28,0.22591031058869357,0.7301092373190415,756
2025-12-31,0.2501891331461448,0.7157150628041618,756
2026-01-30,0.3725990165943599,0.668644689005484,756
2026-02-27,0.425058621567921,0.6175206527264806,756
2026-03-31,0.420861863724872,0.6043040171359519,756
2026-04-20,0.4184665985491004,0.6059020283604916,756
